Rank,Movie Name,Rating,Released,Duration
195,"['195', ' Relatos Salvajes']",8.1,2014,2h 2m
196,"['196', ' The Third Man']",8.1,1949,1h 44m
197,"['197', ' Le Salaire De La Peur']",8.2,1953,2h 11m
198,"['198', ' Sherlock Jr', '']",8.2,1924,45m
199,"['199', ' Dead Poets Society']",8.1,1989,2h 8m
200,"['200', ' Mad Max: Fury Road']",8.1,2015,2h
201,"['201', ' Monsters, Inc', '']",8.1,2001,1h 32m
202,"['202', ' Mr', ' Smith Goes to Washington']",8.1,1939,2h 9m
203,"['203', ' Jaws']",8.1,1975,2h 4m
204,"['204', ' How to Train Your Dragon']",8.1,2010,1h 38m
205,"['205', ' Mary and Max']",8.1,2009,1h 32m
206,"['206', ' Det Sjunde Inseglet']",8.1,1957,1h 36m
207,"['207', ' Ford v', ' Ferrari']",8.1,2019,2h 32m
208,"['208', ' Room']",8.1,2015,1h 58m
209,"['209', ' The Big Lebowski']",8.1,1998,1h 57m
210,"['210', ' Tokyo Story']",8.1,1953,2h 16m
211,"['211', ' Ratatouille']",8.1,2007,1h 51m
212,"['212', ' Rocky']",8.1,1976,2h
213,"['213', ' Hotel Rwanda']",8.1,2004,2h 1m
214,"['214', ' Logan']",8.1,2017,2h 17m
215,"['215', "" La passion de Jeanne d'Arc""]",8.1,1928,1h 50m
216,"['216', ' Spotlight']",8.1,2015,2h 9m
217,"['217', ' Platoon']",8.1,1986,2h
218,"['218', ' The Terminator']",8.1,1984,1h 47m
219,"['219', ' Jai Bhim']",8.8,2021,2h 44m
220,"['220', ' Before Sunset']",8.1,2004,1h 20m
221,"['221', ' Rush']",8.1,2013,2h 3m
222,"['222', ' Network']",8.1,1976,2h 1m
223,"['223', ' The Best Years of Our Lives']",8.1,1946,2h 50m
224,"['224', ' The Exorcist']",8.1,1973,2h 2m
225,"['225', ' Stand by Me']",8.1,1986,1h 29m
226,"['226', ' La haine']",8.1,1995,1h 38m
227,"['227', ' The Wizard of Oz']",8.1,1939,1h 42m
228,"['228', ' Pirates of the Caribbean: The Curse of the Black Pearl']",8.1,2003,2h 23m
229,"['229', ' Into the Wild']",8.1,2007,2h 28m
230,"['230', ' The Incredibles']",8.0,2004,1h 55m
231,"['231', ' Babam Ve Oglum']",8.2,2005,1h 52m
232,"['232', ' To Be or Not to Be']",8.2,1942,1h 39m
233,"['233', "" Hachi: A Dog's Tale""]",8.1,2009,1h 33m
234,"['234', ' Ah-ga-ssi']",8.1,2016,2h 25m
235,"['235', ' The Grapes of Wrath']",8.1,1940,2h 9m
236,"['236', ' La battaglia di Algeri']",8.1,1966,2h 1m
237,"['237', ' Groundhog Day']",8.0,1993,1h 41m
238,"['238', ' Amores perros']",8.1,2000,2h 34m
239,"['239', ' Rebecca']",8.1,1940,2h 10m
240,"['240', ' The Sound of Music']",8.1,1965,2h 52m
241,"['241', ' Cool Hand Luke']",8.1,1967,2h 7m
242,"['242', ' Pather Panchali']",8.2,1955,2h 5m
243,"['243', ' The Iron Giant']",8.1,1999,1h 26m
244,"['244', ' It Happened One Night']",8.1,1934,1h 45m
245,"['245', ' The Help']",8.1,2011,2h 26m
246,"['246', ' The 400 Blows']",8.1,1959,1h 39m
247,"['247', ' Persona']",8.1,1966,1h 25m
248,"['248', ' Life of Brian']",8.0,1979,1h 34m
249,"['249', ' Aladdin']",8.0,1992,1h 30m
250,"['250', ' Dances with Wolves']",8.0,1990,3h 1m
